2025-10-12 13:19:13,236 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,236 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,236 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,236 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,236 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,236 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,237 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,237 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,237 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,237 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,237 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,237 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,237 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,238 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,238 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,238 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,238 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,238 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,238 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,238 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,238 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,239 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,239 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,239 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,239 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,239 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,239 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,239 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,240 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,240 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,240 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,240 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,240 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,240 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,240 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,240 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,241 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,241 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,241 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,241 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,241 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,241 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,241 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,242 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,242 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,242 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,242 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,242 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,242 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,242 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,243 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,243 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,243 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,243 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,243 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,243 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,243 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,244 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,244 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,244 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,244 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,244 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,244 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,244 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,244 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,245 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,245 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,245 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,245 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,245 - INFO -   → All files exist, skipping
